source,run,model_weight,round,n_labeled,kernel,alignment,mean_prior_alignment,model_over_prior,from_json
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round4_round_state.json,1,0.25,4,400,rpe1,0.5611774325370789,0.3315089055715144,2.6808422351662684,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,biogpt,0.4007051885128021,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,esm,0.39782950282096863,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,model,0.8675576448440552,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,node2vec,0.4246855080127716,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,ops_A549,0.32221786537687763,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,ops_HeLa_DMEM,0.12946920598757022,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,ops_HeLa_HPLM,0.1796309774585293,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,pops,0.2721169519310815,0.3357572380424366,2.5838836711374302,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round5_round_state.json,1,0.25,5,500,rpe1,0.5594027042388916,0.3357572380424366,2.5838836711374302,True
