run,round,n_labeled,perm_seed,lambda,signal,z
1,5,500,20260826,0.0,obs,0.5583233067007654
1,5,500,20260826,0.0,pm,
1,5,500,20260826,0.0,cons,0.4497698490972476
1,5,500,20260826,0.0,loc,0.11
1,5,500,20260826,0.0,cons_full,0.4247763974251374
1,5,500,20260826,0.5,obs,0.48568337100185366
1,5,500,20260826,0.5,pm,
1,5,500,20260826,0.5,cons,0.48720724723012304
1,5,500,20260826,0.5,loc,0.0908
1,5,500,20260826,0.5,cons_full,0.4876488217304923
1,5,500,20260826,1.0,obs,0.2202339547230196
1,5,500,20260826,1.0,pm,
1,5,500,20260826,1.0,cons,0.36470928642149975
1,5,500,20260826,1.0,loc,0.009600000000000001
1,5,500,20260826,1.0,cons_full,0.37825947758197226
1,5,500,20260827,0.0,obs,0.5583233067007654
1,5,500,20260827,0.0,pm,
1,5,500,20260827,0.0,cons,0.4497698490972476
1,5,500,20260827,0.0,loc,0.11
1,5,500,20260827,0.0,cons_full,0.4247763974251374
1,5,500,20260827,0.5,obs,0.5032539508818704
1,5,500,20260827,0.5,pm,
1,5,500,20260827,0.5,cons,0.48179000707356384
1,5,500,20260827,0.5,loc,0.0882
1,5,500,20260827,0.5,cons_full,0.48840922606165904
1,5,500,20260827,1.0,obs,0.2587721931246623
1,5,500,20260827,1.0,pm,
1,5,500,20260827,1.0,cons,0.35797048853814967
1,5,500,20260827,1.0,loc,0.018400000000000003
1,5,500,20260827,1.0,cons_full,0.3820972989531789
1,5,500,20260828,0.0,obs,0.5583233067007654
1,5,500,20260828,0.0,pm,
1,5,500,20260828,0.0,cons,0.4497698490972476
1,5,500,20260828,0.0,loc,0.11
1,5,500,20260828,0.0,cons_full,0.4247763974251374
1,5,500,20260828,0.5,obs,0.4909576323209513
1,5,500,20260828,0.5,pm,
1,5,500,20260828,0.5,cons,0.4824478656030105
1,5,500,20260828,0.5,loc,0.0736
1,5,500,20260828,0.5,cons_full,0.4862838912347319
1,5,500,20260828,1.0,obs,0.22031011089142946
1,5,500,20260828,1.0,pm,
1,5,500,20260828,1.0,cons,0.34743293850903567
1,5,500,20260828,1.0,loc,0.018
1,5,500,20260828,1.0,cons_full,0.3757072454817988
1,5,500,20260829,0.0,obs,0.5583233067007654
1,5,500,20260829,0.0,pm,
1,5,500,20260829,0.0,cons,0.4497698490972476
1,5,500,20260829,0.0,loc,0.11
1,5,500,20260829,0.0,cons_full,0.4247763974251374
1,5,500,20260829,0.5,obs,0.49806836348921046
1,5,500,20260829,0.5,pm,
1,5,500,20260829,0.5,cons,0.4814540294810456
1,5,500,20260829,0.5,loc,0.09040000000000001
1,5,500,20260829,0.5,cons_full,0.48676591304599104
1,5,500,20260829,1.0,obs,0.24146633389737485
1,5,500,20260829,1.0,pm,
1,5,500,20260829,1.0,cons,0.35351888883747223
1,5,500,20260829,1.0,loc,0.0222
1,5,500,20260829,1.0,cons_full,0.3809076724890633
1,5,500,20260830,0.0,obs,0.5583233067007654
1,5,500,20260830,0.0,pm,
1,5,500,20260830,0.0,cons,0.4497698490972476
1,5,500,20260830,0.0,loc,0.11
1,5,500,20260830,0.0,cons_full,0.4247763974251374
1,5,500,20260830,0.5,obs,0.4909540666365875
1,5,500,20260830,0.5,pm,
1,5,500,20260830,0.5,cons,0.48331791707315
1,5,500,20260830,0.5,loc,0.087
1,5,500,20260830,0.5,cons_full,0.48657164465559405
1,5,500,20260830,1.0,obs,0.24616309895045707
1,5,500,20260830,1.0,pm,
1,5,500,20260830,1.0,cons,0.3648699506210627
1,5,500,20260830,1.0,loc,0.0166
1,5,500,20260830,1.0,cons_full,0.38149618633728666
2,1,100,20260826,0.0,obs,0.45124494210971544
2,1,100,20260826,0.0,pm,0.4043163596850797
2,1,100,20260826,0.0,cons,0.4031854667512124
2,1,100,20260826,0.0,loc,0.237
2,1,100,20260826,0.0,cons_full,0.4247763974251374
2,1,100,20260826,0.5,obs,0.33718051050588377
2,1,100,20260826,0.5,pm,0.3053041638257836
2,1,100,20260826,0.5,cons,0.5028891086275525
2,1,100,20260826,0.5,loc,0.188
2,1,100,20260826,0.5,cons_full,0.4876488217304923
2,1,100,20260826,1.0,obs,0.13576294508941464
2,1,100,20260826,1.0,pm,0.12632626445348275
2,1,100,20260826,1.0,cons,0.4172705556585074
2,1,100,20260826,1.0,loc,0.07
2,1,100,20260826,1.0,cons_full,0.37825947758197226
2,1,100,20260827,0.0,obs,0.45124494210971544
2,1,100,20260827,0.0,pm,0.4043163596850797
2,1,100,20260827,0.0,cons,0.4031854667512124
2,1,100,20260827,0.0,loc,0.237
2,1,100,20260827,0.0,cons_full,0.4247763974251374
2,1,100,20260827,0.5,obs,0.3768788852749481
2,1,100,20260827,0.5,pm,0.3385981651261575
2,1,100,20260827,0.5,cons,0.49628800054450867
2,1,100,20260827,0.5,loc,0.171
2,1,100,20260827,0.5,cons_full,0.48840922606165904
2,1,100,20260827,1.0,obs,0.19631204250479092
2,1,100,20260827,1.0,pm,0.1772799237805421
2,1,100,20260827,1.0,cons,0.41700237929474504
2,1,100,20260827,1.0,loc,0.064
2,1,100,20260827,1.0,cons_full,0.3820972989531789
2,1,100,20260828,0.0,obs,0.45124494210971544
2,1,100,20260828,0.0,pm,0.4043163596850797
2,1,100,20260828,0.0,cons,0.4031854667512124
2,1,100,20260828,0.0,loc,0.237
2,1,100,20260828,0.0,cons_full,0.4247763974251374
2,1,100,20260828,0.5,obs,0.3897357555499624
2,1,100,20260828,0.5,pm,0.3379714070019822
2,1,100,20260828,0.5,cons,0.4866246329647415
2,1,100,20260828,0.5,loc,0.18600000000000005
2,1,100,20260828,0.5,cons_full,0.4862838912347319
2,1,100,20260828,1.0,obs,0.18285145355987195
2,1,100,20260828,1.0,pm,0.1464868910733606
2,1,100,20260828,1.0,cons,0.37712707915832416
2,1,100,20260828,1.0,loc,0.08299999999999999
2,1,100,20260828,1.0,cons_full,0.3757072454817988
2,1,100,20260829,0.0,obs,0.45124494210971544
2,1,100,20260829,0.0,pm,0.4043163596850797
2,1,100,20260829,0.0,cons,0.4031854667512124
2,1,100,20260829,0.0,loc,0.237
2,1,100,20260829,0.0,cons_full,0.4247763974251374
2,1,100,20260829,0.5,obs,0.3610998866547427
2,1,100,20260829,0.5,pm,0.32931696839100505
2,1,100,20260829,0.5,cons,0.4893738822917823
2,1,100,20260829,0.5,loc,0.20099999999999998
2,1,100,20260829,0.5,cons_full,0.48676591304599104
2,1,100,20260829,1.0,obs,0.15110824455431987
2,1,100,20260829,1.0,pm,0.144172298663136
2,1,100,20260829,1.0,cons,0.38866381685672874
2,1,100,20260829,1.0,loc,0.10699999999999997
2,1,100,20260829,1.0,cons_full,0.3809076724890633
2,1,100,20260830,0.0,obs,0.45124494210971544
2,1,100,20260830,0.0,pm,0.4043163596850797
2,1,100,20260830,0.0,cons,0.4031854667512124
2,1,100,20260830,0.0,loc,0.237
2,1,100,20260830,0.0,cons_full,0.4247763974251374
2,1,100,20260830,0.5,obs,0.3373420607440491
2,1,100,20260830,0.5,pm,0.30399776042490445
2,1,100,20260830,0.5,cons,0.4926137216448892
2,1,100,20260830,0.5,loc,0.16400000000000003
2,1,100,20260830,0.5,cons_full,0.48657164465559405
2,1,100,20260830,1.0,obs,0.14999058004302854
2,1,100,20260830,1.0,pm,0.13686721598212695
2,1,100,20260830,1.0,cons,0.40623895417081474
2,1,100,20260830,1.0,loc,0.052000000000000005
2,1,100,20260830,1.0,cons_full,0.38149618633728666
2,2,200,20260826,0.0,obs,0.5254676639775233
2,2,200,20260826,0.0,pm,0.5541664044532528
2,2,200,20260826,0.0,cons,0.42541845573236087
2,2,200,20260826,0.0,loc,0.16450000000000004
2,2,200,20260826,0.0,cons_full,0.4247763974251374
2,2,200,20260826,0.5,obs,0.4449530230628526
2,2,200,20260826,0.5,pm,0.4683993829749143
2,2,200,20260826,0.5,cons,0.4724035332086977
2,2,200,20260826,0.5,loc,0.11649999999999999
2,2,200,20260826,0.5,cons_full,0.4876488217304923
2,2,200,20260826,1.0,obs,0.18413480818213557
2,2,200,20260826,1.0,pm,0.19259364918107477
2,2,200,20260826,1.0,cons,0.35868863538338275
2,2,200,20260826,1.0,loc,0.014500000000000002
2,2,200,20260826,1.0,cons_full,0.37825947758197226
2,2,200,20260827,0.0,obs,0.5254676639775233
2,2,200,20260827,0.0,pm,0.5541664044532528
2,2,200,20260827,0.0,cons,0.42541845573236087
2,2,200,20260827,0.0,loc,0.16450000000000004
2,2,200,20260827,0.0,cons_full,0.4247763974251374
2,2,200,20260827,0.5,obs,0.48682408662259186
2,2,200,20260827,0.5,pm,0.5110943442914455
2,2,200,20260827,0.5,cons,0.466919415674678
2,2,200,20260827,0.5,loc,0.1295
2,2,200,20260827,0.5,cons_full,0.48840922606165904
2,2,200,20260827,1.0,obs,0.27250884096450284
2,2,200,20260827,1.0,pm,0.2828909438301976
2,2,200,20260827,1.0,cons,0.3619654598178769
2,2,200,20260827,1.0,loc,0.045
2,2,200,20260827,1.0,cons_full,0.3820972989531789
2,2,200,20260828,0.0,obs,0.5254676639775233
2,2,200,20260828,0.0,pm,0.5541664044532528
2,2,200,20260828,0.0,cons,0.42541845573236087
2,2,200,20260828,0.0,loc,0.16450000000000004
2,2,200,20260828,0.0,cons_full,0.4247763974251374
2,2,200,20260828,0.5,obs,0.4691914837376193
2,2,200,20260828,0.5,pm,0.5044360764855116
2,2,200,20260828,0.5,cons,0.4586233243133543
2,2,200,20260828,0.5,loc,0.14150000000000001
2,2,200,20260828,0.5,cons_full,0.4862838912347319
2,2,200,20260828,1.0,obs,0.21813716401731956
2,2,200,20260828,1.0,pm,0.24880859995013085
2,2,200,20260828,1.0,cons,0.3301966639056623
2,2,200,20260828,1.0,loc,0.069
2,2,200,20260828,1.0,cons_full,0.3757072454817988
2,2,200,20260829,0.0,obs,0.5254676639775233
2,2,200,20260829,0.0,pm,0.5541664044532528
2,2,200,20260829,0.0,cons,0.42541845573236087
2,2,200,20260829,0.0,loc,0.16450000000000004
2,2,200,20260829,0.0,cons_full,0.4247763974251374
2,2,200,20260829,0.5,obs,0.4550166105157044
2,2,200,20260829,0.5,pm,0.47394226451649707
2,2,200,20260829,0.5,cons,0.4616860049913584
2,2,200,20260829,0.5,loc,0.12050000000000001
2,2,200,20260829,0.5,cons_full,0.48676591304599104
