run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,method,source
5,1,0,100,0.1283088646438981,0.4458333333333333,0.0108419135212898,0.1169516369700431,0.1815337073285571,0.0024146162759037,0.0849949458157425,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run5_Core-Set_diff_effect_metrics.csv
5,1,1,200,0.234710441831133,0.4096354166666667,0.0096986228600144,0.1017474755644798,0.2844305205916092,0.0020014348962383,0.07102081785409,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run5_Core-Set_diff_effect_metrics.csv
5,1,2,300,0.2627371193963721,0.3971354166666667,0.0089473640546202,0.0911409333348274,0.3031792666424354,0.0015809191196894,0.0557074071130652,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run5_Core-Set_diff_effect_metrics.csv
5,1,3,400,0.2928672886880334,0.3562499999999999,0.0086393421515822,0.0845208466053009,0.3773510832331368,0.0014857839041796,0.0499649675287097,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run5_Core-Set_diff_effect_metrics.csv
5,1,4,500,0.295040704559182,0.3458333333333334,0.0085940547287464,0.0832751169800758,0.3516865899206112,0.0014768207353966,0.0485922312548609,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run5_Core-Set_diff_effect_metrics.csv
5,1,5,600,0.3032389814974276,0.3390625,0.0083810957148671,0.0830010399222374,0.3785083612647382,0.0014475278507258,0.0498592793137201,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run5_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1096241060527546,0.4377604166666667,0.0108396634459495,0.1162433996796608,0.1718188199553704,0.0025357124743992,0.0885982520668525,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.2200402268099909,0.3953125,0.0096910344436764,0.1019615158438682,0.2919995679838496,0.0021760068247191,0.0773316263583486,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2577726397145288,0.3580729166666667,0.0091159082949161,0.0946278199553489,0.3623615521702727,0.001940032374851,0.0697460201528125,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.3029676448736672,0.3473958333333333,0.0082081919535994,0.0828550085425376,0.3786328033658401,0.0013548661387952,0.0469428713731455,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
