split,budget,policy,objective,value,cost
1,70,oracle_frac_ge_0.7,frac_ge_0.5,0.45901639344262296,17080.0
1,70,oracle_frac_ge_0.7,frac_ge_0.7,0.38114754098360654,17080.0
1,90,uniform,mean_r,0.49353218779156793,21960.0
1,90,uniform,frac_ge_0.5,0.5204918032786885,21960.0
1,90,uniform,frac_ge_0.7,0.3770491803278688,21960.0
1,90,probe(dev-fitted),mean_r,0.4939101765554429,21960.0
1,90,probe(dev-fitted),frac_ge_0.5,0.5163934426229508,21960.0
1,90,probe(dev-fitted),frac_ge_0.7,0.3770491803278688,21960.0
1,90,est_norm,mean_r,0.4945216174943556,21960.0
1,90,est_norm,frac_ge_0.5,0.5163934426229508,21960.0
1,90,est_norm,frac_ge_0.7,0.38114754098360654,21960.0
1,90,half_split_r,mean_r,0.49182536068122423,21960.0
1,90,half_split_r,frac_ge_0.5,0.5122950819672131,21960.0
1,90,half_split_r,frac_ge_0.7,0.38114754098360654,21960.0
1,90,noise_ratio,mean_r,0.48926856270733626,21960.0
1,90,noise_ratio,frac_ge_0.5,0.5163934426229508,21960.0
1,90,noise_ratio,frac_ge_0.7,0.38114754098360654,21960.0
1,90,prior_typiclust,mean_r,0.4875230716506103,21960.0
1,90,prior_typiclust,frac_ge_0.5,0.5081967213114754,21960.0
1,90,prior_typiclust,frac_ge_0.7,0.3770491803278688,21960.0
1,90,random,mean_r,0.4874973331857663,21960.0
1,90,random,frac_ge_0.5,0.4959016393442623,21960.0
1,90,random,frac_ge_0.7,0.36065573770491804,21960.0
1,90,oracle_mean_r,mean_r,0.5025774344852476,21960.0
1,90,oracle_mean_r,frac_ge_0.5,0.5163934426229508,21960.0
1,90,oracle_mean_r,frac_ge_0.7,0.38114754098360654,21960.0
1,90,oracle_frac_ge_0.5,mean_r,0.48871767018648765,21960.0
1,90,oracle_frac_ge_0.5,frac_ge_0.5,0.5163934426229508,21960.0
1,90,oracle_frac_ge_0.5,frac_ge_0.7,0.36885245901639346,21960.0
1,90,oracle_frac_ge_0.7,mean_r,0.48760094489094985,21960.0
1,90,oracle_frac_ge_0.7,frac_ge_0.5,0.5081967213114754,21960.0
1,90,oracle_frac_ge_0.7,frac_ge_0.7,0.38114754098360654,21960.0
2,40,uniform,mean_r,0.42444675254752884,9760.0
2,40,uniform,frac_ge_0.5,0.4262295081967213,9760.0
2,40,uniform,frac_ge_0.7,0.26229508196721313,9760.0
2,40,probe(dev-fitted),mean_r,0.410627354065254,9760.0
2,40,probe(dev-fitted),frac_ge_0.5,0.4385245901639344,9760.0
2,40,probe(dev-fitted),frac_ge_0.7,0.27459016393442626,9760.0
2,40,est_norm,mean_r,0.39794230446711826,9760.0
2,40,est_norm,frac_ge_0.5,0.3729508196721312,9760.0
2,40,est_norm,frac_ge_0.7,0.22950819672131148,9760.0
2,40,half_split_r,mean_r,0.3982213748796446,9760.0
2,40,half_split_r,frac_ge_0.5,0.3729508196721312,9760.0
2,40,half_split_r,frac_ge_0.7,0.22540983606557377,9760.0
2,40,noise_ratio,mean_r,0.3910606040730958,9760.0
2,40,noise_ratio,frac_ge_0.5,0.3770491803278688,9760.0
2,40,noise_ratio,frac_ge_0.7,0.21721311475409835,9760.0
2,40,prior_typiclust,mean_r,0.4037228616834313,9760.0
2,40,prior_typiclust,frac_ge_0.5,0.38934426229508196,9760.0
2,40,prior_typiclust,frac_ge_0.7,0.2581967213114754,9760.0
2,40,random,mean_r,0.39875859198576513,9760.0
2,40,random,frac_ge_0.5,0.39344262295081966,9760.0
2,40,random,frac_ge_0.7,0.25,9760.0
2,40,oracle_mean_r,mean_r,0.4223960215410935,9760.0
2,40,oracle_mean_r,frac_ge_0.5,0.47950819672131145,9760.0
2,40,oracle_mean_r,frac_ge_0.7,0.2540983606557377,9760.0
2,40,oracle_frac_ge_0.5,mean_r,0.41463152523110547,9760.0
2,40,oracle_frac_ge_0.5,frac_ge_0.5,0.5245901639344263,9760.0
2,40,oracle_frac_ge_0.5,frac_ge_0.7,0.2336065573770492,9760.0
2,40,oracle_frac_ge_0.7,mean_r,0.4061600005656832,9760.0
2,40,oracle_frac_ge_0.7,frac_ge_0.5,0.38524590163934425,9760.0
2,40,oracle_frac_ge_0.7,frac_ge_0.7,0.3483606557377049,9760.0
2,55,uniform,mean_r,0.4457811834562577,13420.0
2,55,uniform,frac_ge_0.5,0.4672131147540984,13420.0
2,55,uniform,frac_ge_0.7,0.29918032786885246,13420.0
2,55,probe(dev-fitted),mean_r,0.4345232136289925,13420.0
