split,budget,policy,mean_r,downstream,cost,frac_ge_0.7
6,70,oracle_frac_ge_0.7,0.42910786684446006,0.24307366014135515,17080.0,0.3360655737704918
6,70,oracle_downstream,0.4331372425754051,0.2573920341476873,17080.0,0.30327868852459017
6,70,random,0.428190969156932,0.24610221167326368,17080.0,0.28688524590163933
6,90,uniform,0.46487676847886417,0.2532724670492583,21960.0,0.3237704918032787
6,90,probe(dev-fitted),0.46244413042670024,0.2526198700411463,21960.0,0.3360655737704918
6,90,oracle_frac_ge_0.7,0.4562463458516772,0.2503100245901054,21960.0,0.3360655737704918
6,90,oracle_downstream,0.4595384434014406,0.2570255294408797,21960.0,0.3319672131147541
6,90,random,0.45391992867454795,0.25198939977217394,21960.0,0.3073770491803279
7,40,uniform,0.4259430311890281,0.23848712148894782,9760.0,0.2786885245901639
7,40,probe(dev-fitted),0.41057518000483556,0.2366930746493196,9760.0,0.2786885245901639
7,40,oracle_frac_ge_0.7,0.41249529390975637,0.23677670657555694,9760.0,0.35655737704918034
7,40,oracle_downstream,0.40776875222313647,0.2457160834825238,9760.0,0.2459016393442623
7,40,random,0.40627748626818666,0.23548016807761196,9760.0,0.2459016393442623
7,55,uniform,0.45185404633492476,0.24143273161971543,13420.0,0.3073770491803279
7,55,probe(dev-fitted),0.43777840817871994,0.24023517683780288,13420.0,0.3237704918032787
7,55,oracle_frac_ge_0.7,0.43128857188276015,0.23823015059299876,13420.0,0.35655737704918034
7,55,oracle_downstream,0.42656985806543607,0.24975738055552177,13420.0,0.27049180327868855
7,55,random,0.42950513039631616,0.23878608662927042,13420.0,0.2786885245901639
7,70,uniform,0.47051181588665447,0.2427706759109818,17080.0,0.32786885245901637
7,70,probe(dev-fitted),0.460579562301988,0.24262756629528304,17080.0,0.3442622950819672
7,70,oracle_frac_ge_0.7,0.4529976131882114,0.2421911895947568,17080.0,0.35655737704918034
7,70,oracle_downstream,0.45022035405740185,0.25080194946806544,17080.0,0.3155737704918033
7,70,random,0.4523018766633525,0.24049254026587918,17080.0,0.30327868852459017
7,90,uniform,0.48922826600493385,0.2447348944683278,21960.0,0.3483606557377049
7,90,probe(dev-fitted),0.4880493002038136,0.24444256208278603,21960.0,0.3524590163934426
7,90,oracle_frac_ge_0.7,0.4792757446736433,0.24467739421586074,21960.0,0.35655737704918034
7,90,oracle_downstream,0.4800966781598409,0.25032279552038483,21960.0,0.3360655737704918
7,90,random,0.48385816773392076,0.24346431912461047,21960.0,0.3483606557377049
8,40,uniform,0.39867994499432885,0.24515888700162092,9760.0,0.26229508196721313
8,40,probe(dev-fitted),0.38813007213165757,0.24344259068183433,9760.0,0.2581967213114754
8,40,oracle_frac_ge_0.7,0.38860221495460645,0.24414906245750237,9760.0,0.32786885245901637
8,40,oracle_downstream,0.38396416124496535,0.2529319432564703,9760.0,0.22540983606557377
8,40,random,0.3801808380989404,0.24246056169819089,9760.0,0.20901639344262296
8,55,uniform,0.4213061164978693,0.24980076264981071,13420.0,0.29508196721311475
8,55,probe(dev-fitted),0.41250464099709355,0.24745657231390247,13420.0,0.30327868852459017
8,55,oracle_frac_ge_0.7,0.40884347140195504,0.24584699736549606,13420.0,0.32786885245901637
8,55,oracle_downstream,0.4045621264085639,0.25685958758861865,13420.0,0.27459016393442626
8,55,random,0.4037266236560068,0.2442783516377926,13420.0,0.23770491803278687
8,70,uniform,0.4379838717591827,0.2509408305800364,17080.0,0.29918032786885246
8,70,probe(dev-fitted),0.4348686833333484,0.2503483195462652,17080.0,0.3237704918032787
8,70,oracle_frac_ge_0.7,0.42508700522346055,0.24851632240745858,17080.0,0.32786885245901637
8,70,oracle_downstream,0.4238337667684689,0.25781502008166557,17080.0,0.29508196721311475
8,70,random,0.4204918333891298,0.24579365055971616,17080.0,0.27049180327868855
8,90,uniform,0.4553358368251137,0.25221542867230345,21960.0,0.319672131147541
8,90,probe(dev-fitted),0.4560047099715076,0.2518841045726689,21960.0,0.32786885245901637
8,90,oracle_frac_ge_0.7,0.45066627058044045,0.25139776026206867,21960.0,0.32786885245901637
8,90,oracle_downstream,0.4501606172883929,0.2570419567883787,21960.0,0.319672131147541
8,90,random,0.4495268928685768,0.2505267987964193,21960.0,0.3155737704918033
9,40,uniform,0.4152196532723181,0.230352297930909,9760.0,0.27049180327868855
9,40,probe(dev-fitted),0.400145478446903,0.22509067116198622,9760.0,0.29918032786885246
9,40,oracle_frac_ge_0.7,0.40015206943203113,0.22645307500231085,9760.0,0.36065573770491804
9,40,oracle_downstream,0.39867844537891006,0.2370314616578278,9760.0,0.22950819672131148
9,40,random,0.3931592426612996,0.22728802801035106,9760.0,0.22131147540983606
9,55,uniform,0.44246592986031025,0.23335903601322575,13420.0,0.3155737704918033
9,55,probe(dev-fitted),0.42749781794626585,0.2271668490856302,13420.0,0.3319672131147541
9,55,oracle_frac_ge_0.7,0.42091531637143803,0.22833676954016213,13420.0,0.36065573770491804
9,55,oracle_downstream,0.4218681380548705,0.2408309482352682,13420.0,0.26639344262295084
9,55,random,0.4158643792449214,0.23079850166674595,13420.0,0.27049180327868855
9,70,uniform,0.4628612761696816,0.23530731080121065,17080.0,0.3442622950819672
9,70,probe(dev-fitted),0.4492810039445147,0.22904947924046568,17080.0,0.36065573770491804
9,70,oracle_frac_ge_0.7,0.44003826878358016,0.2311637613273495,17080.0,0.36065573770491804
9,70,oracle_downstream,0.4452899208637794,0.24205396360580358,17080.0,0.30327868852459017
9,70,random,0.4405170236470857,0.2320835672655833,17080.0,0.3114754098360656
