split,budget,policy,downstream_pearson,cost
6,40,est_norm,0.24260636765064675,9760.0
6,40,half_split_r,0.24338461701441397,9760.0
6,40,noise_ratio,0.23710666172377465,9760.0
6,40,prior_typiclust,0.24515280890755428,9760.0
6,40,random,0.23835465006571308,9760.0
6,40,oracle_mean_r,0.23958602543968355,9760.0
6,40,oracle_frac_ge_0.5,0.2375819145163142,9760.0
6,40,oracle_frac_ge_0.7,0.23793902322539823,9760.0
6,55,uniform,0.24831788374322517,13420.0
6,55,probe(dev-fitted),0.24404594328563575,13420.0
6,55,est_norm,0.24647735017939912,13420.0
6,55,half_split_r,0.24690997052465527,13420.0
6,55,noise_ratio,0.23915438677168063,13420.0
6,55,prior_typiclust,0.24972683448331978,13420.0
6,55,random,0.24040991913030532,13420.0
6,55,oracle_mean_r,0.24311777925554243,13420.0
6,55,oracle_frac_ge_0.5,0.23933055102707443,13420.0
6,55,oracle_frac_ge_0.7,0.24093481212336237,13420.0
6,70,uniform,0.24943180798774836,17080.0
6,70,probe(dev-fitted),0.250158151703987,17080.0
6,70,est_norm,0.2499307501280538,17080.0
6,70,half_split_r,0.24808766382276445,17080.0
6,70,noise_ratio,0.24186217837638124,17080.0
6,70,prior_typiclust,0.2516652344714293,17080.0
6,70,random,0.24610221167326368,17080.0
6,70,oracle_mean_r,0.24593813932576744,17080.0
6,70,oracle_frac_ge_0.5,0.24206075303664423,17080.0
6,70,oracle_frac_ge_0.7,0.24307366014135515,17080.0
6,90,uniform,0.2532724670492583,21960.0
6,90,probe(dev-fitted),0.2531095178267644,21960.0
6,90,est_norm,0.2535777580349689,21960.0
6,90,half_split_r,0.25279450817483834,21960.0
6,90,noise_ratio,0.2465926280996836,21960.0
6,90,prior_typiclust,0.2535113195339652,21960.0
6,90,random,0.25198939977217394,21960.0
6,90,oracle_mean_r,0.25289564189596575,21960.0
6,90,oracle_frac_ge_0.5,0.24931852574285243,21960.0
6,90,oracle_frac_ge_0.7,0.2503100245901054,21960.0
7,40,uniform,0.23848712148894782,9760.0
7,40,probe(dev-fitted),0.23708068207312402,9760.0
7,40,est_norm,0.23932869188226769,9760.0
7,40,half_split_r,0.23849074895039785,9760.0
7,40,noise_ratio,0.23523078536605638,9760.0
7,40,prior_typiclust,0.23901612753126023,9760.0
7,40,random,0.23548016807761196,9760.0
7,40,oracle_mean_r,0.23502976928921687,9760.0
7,40,oracle_frac_ge_0.5,0.23675911366533867,9760.0
7,40,oracle_frac_ge_0.7,0.23677670657555694,9760.0
7,55,uniform,0.24143273161971543,13420.0
7,55,probe(dev-fitted),0.24048916969308465,13420.0
7,55,est_norm,0.24101713154534565,13420.0
7,55,half_split_r,0.24158109696372318,13420.0
7,55,noise_ratio,0.23580088509344146,13420.0
7,55,prior_typiclust,0.24258815253150384,13420.0
7,55,random,0.23878608662927042,13420.0
7,55,oracle_mean_r,0.23747705410545755,13420.0
7,55,oracle_frac_ge_0.5,0.23891315015920925,13420.0
7,55,oracle_frac_ge_0.7,0.23823015059299876,13420.0
7,70,uniform,0.2427706759109818,17080.0
7,70,probe(dev-fitted),0.24126429024219753,17080.0
7,70,est_norm,0.24299002200290232,17080.0
7,70,half_split_r,0.24309727835141956,17080.0
7,70,noise_ratio,0.23724220049243214,17080.0
7,70,prior_typiclust,0.24356100513640325,17080.0
7,70,random,0.24049254026587918,17080.0
7,70,oracle_mean_r,0.23982075626650107,17080.0
7,70,oracle_frac_ge_0.5,0.24229595847035618,17080.0
7,70,oracle_frac_ge_0.7,0.2421911895947568,17080.0
7,90,uniform,0.2447348944683278,21960.0
7,90,probe(dev-fitted),0.24401098418547917,21960.0
7,90,est_norm,0.2435652702395482,21960.0
7,90,half_split_r,0.24463261213751614,21960.0
7,90,noise_ratio,0.2414466076182477,21960.0
7,90,prior_typiclust,0.24528319609945146,21960.0
7,90,random,0.24346431912461047,21960.0
7,90,oracle_mean_r,0.2443511530348664,21960.0
7,90,oracle_frac_ge_0.5,0.24505823799231358,21960.0
7,90,oracle_frac_ge_0.7,0.24467739421586074,21960.0
8,40,uniform,0.24515888700162092,9760.0
8,40,probe(dev-fitted),0.24497358553654303,9760.0
8,40,est_norm,0.24406358134273407,9760.0
8,40,half_split_r,0.2448928234156559,9760.0
8,40,noise_ratio,0.24024518057734764,9760.0
8,40,prior_typiclust,0.24398676296662444,9760.0
8,40,random,0.24246056169819089,9760.0
8,40,oracle_mean_r,0.24264654494035853,9760.0
8,40,oracle_frac_ge_0.5,0.24151227947592846,9760.0
8,40,oracle_frac_ge_0.7,0.24414906245750237,9760.0
8,55,uniform,0.24980076264981071,13420.0
8,55,probe(dev-fitted),0.24811888305558746,13420.0
8,55,est_norm,0.24774131036101163,13420.0
8,55,half_split_r,0.24737222410226412,13420.0
8,55,noise_ratio,0.24106467884210328,13420.0
8,55,prior_typiclust,0.2502570782630968,13420.0
8,55,random,0.2442783516377926,13420.0
8,55,oracle_mean_r,0.24548478058457918,13420.0
8,55,oracle_frac_ge_0.5,0.24587888958181195,13420.0
8,55,oracle_frac_ge_0.7,0.24584699736549606,13420.0
8,70,uniform,0.2509408305800364,17080.0
8,70,probe(dev-fitted),0.24992477669252455,17080.0
8,70,est_norm,0.25010198897115377,17080.0
8,70,half_split_r,0.2502435206115898,17080.0
8,70,noise_ratio,0.2441313722261652,17080.0
8,70,prior_typiclust,0.2514011401134764,17080.0
8,70,random,0.24579365055971616,17080.0
8,70,oracle_mean_r,0.24992530864475448,17080.0
8,70,oracle_frac_ge_0.5,0.24866225739197176,17080.0
8,70,oracle_frac_ge_0.7,0.24851632240745858,17080.0
8,90,uniform,0.25221542867230345,21960.0
8,90,probe(dev-fitted),0.2512838933605432,21960.0
8,90,est_norm,0.2521308619029979,21960.0
8,90,half_split_r,0.2529269095153739,21960.0
8,90,noise_ratio,0.24920134296372967,21960.0
8,90,prior_typiclust,0.2513795238796243,21960.0
8,90,random,0.2505267987964193,21960.0
8,90,oracle_mean_r,0.25192206208095036,21960.0
